Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Perdida,3,3,0.014066,0.05675,42.684,0.351646,302,OK
Perdida,3,4,0.025324,0.074937,49.613,0.45421,302,OK
Perdida,3,5,0.028389,0.07111,42.721,0.526692,302,OK
Perdida,3,6,0.021208,0.066207,44.999,0.585106,302,OK
Perdida,3,7,0.019547,0.067278,47.731,0.600883,302,OK
Perdida,3,8,0.021829,0.09102,69.191,0.589828,302,OK
Perdida,3,9,0.019753,0.061709,41.956,0.465284,302,OK
Perdida,3,10,0.030294,0.078895,48.601,0.45956,302,OK
Perdida,3,11,0.080629,0.134884,54.255,0.665556,302,OK
Perdida,3,12,0.015934,0.055509,39.575,0.479254,302,OK
Perdida,3,13,0.023743,0.068129,44.386,0.324481,302,OK
Perdida,3,14,0.024537,0.077929,53.392,0.629119,302,OK
Perdida,3,15,0.021224,0.066841,45.617,0.583908,302,OK
Perdida,3,16,0.013851,0.055445,41.594,0.475567,302,OK
Perdida,3,17,0.017476,0.063986,46.51,0.375403,302,OK
Perdida,3,18,0.020631,0.061214,40.583,0.622166,302,OK
Perdida,3,19,0.023913,0.071301,47.388,0.480452,302,OK
Perdida,3,20,0.024735,0.076349,51.614,0.477319,302,OK
Perdida,3,21,0.014897,0.05633,41.433,0.549797,302,OK
Perdida,3,22,0.016291,0.060503,44.212,0.550348,302,OK
Perdida,3,23,0.01496,0.060192,45.232,0.601,302,OK
Perdida,3,24,0.018202,0.058176,39.974,0.400493,302,OK
Perdida,3,25,0.023075,0.071179,48.104,0.581644,302,OK
Perdida,3,26,0.02573,0.07809,52.36,0.358304,302,OK
Perdida,3,27,0.018764,0.062006,43.242,0.596017,302,OK
Perdida,3,28,0.024061,0.069631,45.57,0.580419,302,OK
Perdida,3,29,0.023988,0.072649,48.661,0.480183,302,OK
Perdida,3,30,0.015242,0.056952,41.71,0.593603,302,OK
Perdida,3,31,0.013754,0.060483,46.729,0.539373,302,OK
Perdida,3,32,0.01579,0.06304,47.25,0.565928,302,OK
Perdida,3,33,0.014143,0.056104,41.961,0.710243,302,OK
Perdida,3,34,0.015156,0.064517,49.361,0.39759,302,OK
Perdida,3,35,0.014333,0.055915,41.582,0.500055,302,OK
Perdida,3,36,0.014199,0.057386,43.187,0.470182,302,OK
Perdida,3,37,0.02412,0.069801,45.681,0.433759,302,OK
Perdida,3,38,0.015665,0.058918,43.253,0.399085,302,OK
Perdida,3,39,0.013575,0.057002,43.427,0.394716,302,OK
Perdida,3,40,0.017341,0.063408,46.067,0.488879,302,OK
Perdida,3,41,0.014423,0.055442,41.019,0.351315,302,OK
Perdida,3,42,0.013702,0.05659,42.888,0.324313,302,OK
Perdida,3,43,0.020333,0.061514,41.181,0.604862,302,OK
Perdida,3,44,0.013507,0.058078,44.571,0.395183,302,OK
Perdida,3,45,0.013267,0.05472,41.453,0.391339,302,OK
Perdida,3,46,0.013165,0.05433,41.165,0.399183,302,OK
Perdida,3,47,0.027389,0.073683,46.294,0.479457,302,OK
Perdida,3,48,0.01578,0.062332,46.552,0.475428,302,OK
Perdida,3,49,0.013225,0.05939,46.165,0.526296,302,OK
Perdida,3,50,0.021357,0.071457,50.1,0.595573,302,OK
Perdida,5,1,0.031183,0.080861,49.678,0.45897,302,OK
Perdida,5,2,0.01532,0.064011,48.691,0.370619,302,OK
Perdida,5,3,0.01281,0.051707,38.897,0.346254,302,OK
Perdida,5,4,0.013829,0.056496,42.667,0.587041,302,OK
Perdida,5,5,0.021458,0.062848,41.39,0.415235,302,OK
Perdida,5,6,0.420736,0.463571,42.835,0.782259,302,OK
Perdida,5,7,0.420814,0.468796,47.982,0.89538,302,OK
Perdida,5,8,0.015588,0.05937,43.782,0.624317,302,OK
Perdida,5,9,0.013811,0.055684,41.873,0.60103,302,OK
Perdida,5,10,0.014954,0.060171,45.217,0.400357,302,OK
Perdida,5,11,0.014041,0.053166,39.125,0.461578,302,OK
Perdida,5,12,0.016479,0.058587,42.108,0.528551,302,OK
Perdida,5,13,0.013605,0.055093,41.488,0.494178,302,OK
Perdida,5,14,0.014797,0.060348,45.551,0.923249,302,OK
Perdida,5,15,0.015304,0.061785,46.481,0.49931,302,OK
Perdida,5,16,0.024079,0.06895,44.871,0.625581,302,OK
Perdida,5,17,0.046473,0.108494,62.021,0.579986,302,OK
